totalPages;currentPage;pageSize;nextResourceURI;band;isGuestUser;dot11Status;macAddress;currentlyTracked;confidenceFactor;historyLogReason;ipAddress;ssId;apMacAddress;mapHierarchyString;floorRefId;length;width;height;offsetX;offsetY;unit;imageName;x;y;unit2;currentServerTime;firstLocatedTime;lastLocatedTime;latitude;longitude;unit3
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;f0:5a:09:bf:e7:cf;CERT;320;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;2705.49;1925.28;FEET;2017-07-21T10:48:33.974+0200;2017-06-26T10:47:28.110+0200;2017-06-26T11:02:18.437+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;f4:09:d8:41:fc:7c;CERT;320;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;1017.25;2286.89;FEET;2017-07-21T10:48:33.974+0200;2017-06-26T11:01:58.266+0200;2017-06-26T11:02:06.292+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;UNKNOWN;fc:3f:7c:88:9d:7b;CERT;728;NETWORK_STATUS_CHANGE;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;2764.44;1978.27;FEET;2017-07-21T10:48:33.974+0200;2017-06-26T11:01:07.848+0200;2017-06-26T11:02:30.557+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;UNKNOWN;64:cc:2e:79:d1:c7;CERT;408;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;3419.45;1950.82;FEET;2017-07-21T10:48:33.974+0200;2017-06-26T10:50:23.351+0200;2017-06-26T11:02:14.389+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;UNKNOWN;b4:52:7e:77:1a:02;CERT;888;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;1692.44;1974.97;FEET;2017-07-21T10:48:33.974+0200;2017-06-26T10:56:35.972+0200;2017-06-26T11:00:39.646+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;c8:38:70:33:a0:99;CERT;352;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;1878.84;1920.24;FEET;2017-07-21T10:48:33.974+0200;2017-06-26T11:01:32.037+0200;2017-06-26T11:02:34.524+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;d0:22:be:34:d9:00;CERT;616;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;513.27;2459.51;FEET;2017-07-21T10:48:33.974+0200;2017-06-26T10:56:44.022+0200;2017-06-26T11:02:26.458+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;38:ca:da:73:40:f7;CERT;888;FLOOR_CHANGE;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;3604.64;1883.88;FEET;2017-07-21T10:48:33.974+0200;2017-06-26T11:02:02.329+0200;2017-06-26T11:02:02.329+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;38:2d:e8:f3:ca:fc;CERT;928;SECURITY_POLICY_CHANGE;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;1634.48;2020.83;FEET;2017-07-21T10:48:33.974+0200;2017-06-26T10:56:27.945+0200;2017-06-26T11:03:38.988+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;UNKNOWN;18:d2:76:d8:9d:8f;CERT;344;SECURITY_POLICY_CHANGE;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;3007.49;2032.95;FEET;2017-07-21T10:48:33.974+0200;2017-06-26T11:03:38.945+0200;2017-06-26T11:03:38.945+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;ASSOCIATED;70:70:0d:b3:18:64;CERT;720;STATUS_CHANGE;;Andorra wifi;dc:a5:f4:04:2a:60;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;3669.31;1882.43;FEET;2017-07-21T10:48:33.974+0200;2017-06-26T11:01:24.000+0200;2017-06-26T11:01:24.000+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;ASSOCIATED;70:70:0d:b3:18:64;CERT;720;NETWORK_STATUS_CHANGE;;Andorra wifi;dc:a5:f4:04:2a:60;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;3669.31;1882.43;FEET;2017-07-21T10:48:33.974+0200;2017-06-26T11:01:24.000+0200;2017-06-26T11:01:24.000+0200;;;
